Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
372,Clint Capela\capelca01,HOU,$1296240,$2334520,,,,,1st Round Pick,$3630760
373,Jarell Martin\martija01,MEM,$1286160,$1341600,$2516222,,,,1st Round pick,$2627760
374,Brice Johnson\johnsbr02,LAC,$1273920,$1331160,$1388520,$2500725,,,1st Round pick,$2605080
375,Lance Stephenson\stephla01,NOP,$1227286,,,,,,Minimum Salary,$100000
376,Jeremy Evans\evansje01,IND,$1227286,,,,,,,$1227286
377,Luke Babbitt\babbilu01,MIA,$1227000,,,,,,Minimum Salary,$1227000
378,Jordan Mickey\mickejo01,BOS,$1223653,$1276346,$1329039,,,,,$1223653
379,C.J. Wilcox\wilcocj01,ORL,$1209680,$2183328,,,,,1st Round Pick,$1209680
380,Larry Nance Jr.\nancela02,LAL,$1207680,$1259640,$2272391,,,,1st Round pick,$2467320
381,R.J. Hunter\hunterj01,BOS,$1200240,,,,,,,$1200240
382,Pascal Siakam\siakapa01,TOR,$1196040,$1249920,$1303680,$2351839,,,1st Round pick,$2445960
383,Kyle Anderson\anderky01,SAS,$1192080,$2151704,,,,,1st Round Pick,$3343784
384,Josh Huestis\huestjo01,OKC,$1191480,$1242840,$2243326,,,,,$2434320
385,Chris McCullough\mcculch01,BRK,$1191480,$1242840,$2243326,,,,1st Round pick,$2434320
386,Livio Jean-Charles\jeancli01,SAS,$1188840,$1242240,,,,,,$2431080
387,Skal Labissiere\labissk01,SAC,$1188840,$1242240,$1295760,$2338847,,,1st Round pick,$2431080
388,Kevon Looney\looneke01,GSW,$1182840,$1233840,$2227081,,,,1st Round pick,$2416680
389,Dejounte Murray\murrade01,SAS,$1180080,$1233240,$1286280,$2321735,,,1st Round pick,$2413320
390,Damian Jones\jonesda03,GSW,$1171560,$1224240,$1277040,$2305057,,,1st Round pick,$2395800
391,Isaiah Whitehead\whiteis01,BRK,$1074145,$1122248,$1170584,$1218920,,,Cap Space,$2196393
392,Rakeem Christmas\chrisra01,IND,$1052342,$1097658,$1142974,,,,,$1102342
393,Joe Young\youngjo01,IND,$1052342,$1097658,$1142974,,,,Cap Space,$1052342
394,John Jenkins\jenkijo01,PHO,$1050961,$1178992,,,,,Minimum Salary,$1050961
395,Terrence Jones\joneste01,NOP,$1050961,,,,,,Minimum Salary,$1050961
397,Pablo Prigioni\prigipa01,HOU,$1050961,$1178992,,,,,,$1050961
398,Quincy Acy\acyqu01,DAL,$1050961,$1178992,,,,,Minimum Salary,$1050961
399,Brian Roberts\roberbr01,CHO,$1050961,,,,,,Minimum Salary,$1050961
400,Glenn Robinson\robingl02,IND,$1050500,$1090500,,,,,Minimum Salary,$1050500
401,Ivica Zubac\zubaciv01,LAL,$1034956,$1081529,$1128102,,,,Cap Space,$2116485
402,Richaun Holmes\holmeri01,PHI,$1025831,$1014746,$1088038,,,,Cap Space,$1025831
403,Jeff Withey\witheje01,UTA,$1015696,,,,,,,
404,Robert Covington\covinro01,PHI,$1015696,$1087745,,,,,,$50000
405,Hollis Thompson\thompho01,PHI,$1015696,,,,,,,
406,Justin Holiday\holidju01,NYK,$1015696,,,,,,Minimum Salary,$1015696
407,Willie Reed\reedwi02,MIA,$1015696,$1087745,,,,,Cap Space,$1015696
408,Ian Clark\clarkia01,GSW,$1015696,,,,,,Minimum Salary,$1015696
409,DeAndre Liggins\liggide01,CLE,$1015696,$1087745,,,,,Minimum Salary,$25000
410,Isaiah Canaan\canaais01,CHI,$1015696,$1087745,,,,,Minimum Salary,$1215696
411,Anthony Bennett\bennean01,BRK,$1015696,$1087745,,,,,Cap Space,$1015696
412,Mike Muscala\muscami01,ATL,$1015696,,,,,,Minimum Salary,$1015696
413,Elton Brand\brandel01,PHI,$1000000,,,,,,,$1000000
414,Montrezl Harrell\harremo01,HOU,$1000000,$1100000,,,,,,$2100000
415,Walter Tavares\tavarwa01,ATL,$1000000,,,,,,,$1000000
416,Damjan Rudez\rudezda01,ORL,$980431,,,,,,,
417,Arinze Onuaku\onuakar01,ORL,$980431,,,,,,,
418,Jerami Grant\grantje01,OKC,$980431,$1051245,,,,,,
419,JaMychal Green\greenja01,MEM,$980431,,,,,,Minimum Salary,$200000
420,Bobby Brown\brownbo02,HOU,$980431,,,,,,,
421,James Michael McAdoo\mcadoja01,GSW,$980431,,,,,,Minimum Salary,$980431
422,Nick Johnson\johnsni01,DEN,$980431,,,,,,,$980431
423,Jarnell Stokes\stokeja01,DEN,$980431,$1051245,,,,,Minimum Salary,$150000
424,Sean Kilpatrick\kilpase01,BRK,$980431,$1051245,,,,,Minimum Salary,$980431
425,Joe Harris\harrijo01,BRK,$980431,$1051245,,,,,Minimum Salary,$980431
426,Ryan Kelly\kellyry01,ATL,$979848,$1087745,,,,,,
427,Stephen Zimmerman\zimmest01,ORL,$950000,$992750,$1050262,,,,Cap Space,$950000
428,Jason Thompson\thompja02,GSW,$945126,$945126,$945126,,,,,$2835378
429,Andrew Harrison\harrian01,MEM,$945000,$987525,$1050262,,,,Cap Space,$1045000
430,Raul Neto\netora01,UTA,$937800,$1014746,,,,,,$937800
431,Malcolm Brogdon\brogdma01,MIL,$925000,$955249,$1050262,,,,Cap Space,$1880249
432,Wayne Ellington\ellinwa01,SAC,$923670,,,,,,,$6923780
433,Tyler Ulis\ulisty01,PHO,$918369,$905249,$1050262,$1126120,,,Cap Space,$1823618
434,Norman Powell\powelno01,TOR,$874636,$1014746,,,,,Cap Space,$874636
435,Jonathon Simmons\simmojo02,SAS,$874636,,,,,,Minimum Salary,$874636
436,Pat Connaughton\connapa01,POR,$874636,$1014746,,,,,Minimum Salary,$874636
437,Alan Williams\willial03,PHO,$874636,,,,,,Minimum Salary,$874636
438,T.J. McConnell\mccontj01,PHI,$874636,,,,,,,
439,Josh Richardson\richajo01,MIA,$874636,$1014746,,,,,Minimum Salary,$874636
440,Anthony Brown\brownan02,LAL,$874636,,,,,,,$874636
441,Salah Mejri\mejrisa01,DAL,$874636,$1014746,,,,,,
442,Jordan McRae\mcraejo01,CLE,$874636,,,,,,Minimum Salary,$874636
443,Christian Wood\woodch01,CHO,$874636,$1014746,,,,,Cap Space,$874636
444,Aaron Harrison\harriaa01,CHO,$874636,,,,,,,
445,Cristiano Felicio\feliccr01,CHI,$874636,,,,,,,
446,Darrun Hilliard\hillida01,DET,$874060,$1014750,,,,,Cap space,$874060
447,Martell Webster\webstma02,WAS,$830000,$830000,$830000,,,,,$2490000
448,Paul Zipser\zipsepa01,CHI,$750000,$905249,$1050262,$1126120,,,Cap Space,$1655249
449,Carlos Delfino\delfica01,LAC,$650000,$650000,$650000,,,,,$1950000
450,Georges Niang\niangge01,IND,$650000,$905249,$1050262,,,,Cap Space,$750000
451,Michael Gbinije\gbinimi01,DET,$650000,$905240,$1050262,,,,Cap Space,$1150000
452,A.J. Hammons\hammoaj01,DAL,$650000,$905249,$1050262,,,,Cap Space,$2605511
453,Joel Bolomboy\bolomjo01,UTA,$600000,$905249,$1050262,,,,Cap Space,$1052625
454,Jake Layman\laymaja01,POR,$600000,$905249,$1050262,,,,Cap Space,$1505249
455,Danuel House\houseda01,WAS,$543471,$905249,,,,,Minimum Salary,$100000
456,Sheldon McClellan\mcclesh01,WAS,$543471,$905249,,,,,Minimum Salary,$50000
457,Daniel Ochefu\ochefda01,WAS,$543471,$905249,$1050262,,,,Cap Space,$50000
458,Fred VanVleet\vanvlfr01,TOR,$543471,$905249,,,,,Minimum Salary,$50000
459,Nicolas Laprovittola\laproni01,SAS,$543471,,,,,,,
460,Bryn Forbes\forbebr01,SAS,$543471,$905249,,,,,Minimum Salary,$125000
461,Davis Bertans\bertada01,SAS,$543471,$905249,,,,,Minimum Salary,$1448720
462,Tim Quarterman\quartti01,POR,$543471,$905249,,,,,Minimum Salary,$75000
463,Derrick Jones\jonesde02,PHO,$543471,$905249,$1050262,,,,Minimum Salary,$42500
464,Semaj Christon\chrisse01,OKC,$543471,$905249,$1050262,,,,Minimum Salary,$200000
465,Ron Baker\bakerro01,NYK,$543471,,,,,,Minimum Salary,$75000
466,Maurice Ndour\ndourma01,NYK,$543471,$905249,,,,,Minimum Salary,$543471
467,Marshall Plumlee\plumlma02,NYK,$543471,$905249,$1050262,,,,Minimum Salary,$643471
468,Cheick Diallo\diallch01,NOP,$543471,$905249,$1050262,,,,Minimum Salary,$1948720
469,Rodney McGruder\mcgruro01,MIA,$543471,$905249,$1050262,,,,Minimum Salary,$300000
470,Troy Williams\willitr02,MEM,$543471,$905249,,,,,Minimum Salary,$150000
471,Diamond Stone\stonedi01,LAC,$543471,$905249,,,,,Minimum Salary,$1448720
472,Gary Payton\paytoga02,HOU,$543471,,,,,,,$543471
473,Kyle Wiltjer\wiltjky01,HOU,$543471,$905249,,,,,Minimum Salary,$275000
474,Chinanu Onuaku\onuakch01,HOU,$543471,$905249,$1050262,,,,Minimum Salary,$2498982
475,Patrick McCaw\mccawpa01,GSW,$543471,$905249,,,,,Minimum Salary,$1448720
476,Jonathan Gibson\gibsojo01,DAL,$543471,,,,,,,$543471
477,Nicolas Brussino\brussni01,DAL,$543471,$905249,$1050262,,,,Minimum Salary,$543471
478,Dorian Finney-Smith\finnedo01,DAL,$543471,$905249,$1050262,,,,Minimum Salary,$150000
479,Kay Felder\feldeka01,CLE,$543471,$905249,$1050262,,,,Minimum Salary,$1000000
480,Treveon Graham\grahatr01,CHO,$543471,$905249,,,,,Minimum Salary,$75000
481,Caron Butler\butleca01,SAC,$517220,$517220,$517220,,,,,$1551660
482,Jordan Farmar\farmajo01,LAC,$510921,$510921,,,,,,$1021842
483,Jarrett Jack\jackja01,BRK,$500000,,,,,,,$500000
484,Aaron Gray\grayaa01,DET,$452059,$452059,,,,,,$904118
485,Maurice Ndour\ndourma01,DAL,$437318,,,,,,,$437318
486,Briante Weber\weberbr01,MIA,$328000,,,,,,,$328000
487,Andrea Bargnani\bargnan01,BRK,$323599,,,,,,,$323599
488,Gal Mekel\mekelga01,DAL,$315760,$315760,,,,,,$631520
489,Miroslav Raduljica\radulmi01,LAC,$300000,$300000,$300000,,,,,$900000
490,Yi Jianlian\jianlyi01,LAL,$250000,,,,,,,$250000
491,Elliot Williams\williel01,GSW,$250000,,,,,,,$250000
492,Ben Bentil\bentibe01,BOS,$250000,,,,,,,$250000
493,Jarell Eddie\eddieja01,WAS,$175000,,,,,,,$175000
494,Brandon Paul\paulbr01,PHI,$155000,,,,,,,$155000
495,Robbie Hummel\hummero01,DEN,$150000,,,,,,,$150000
496,Marcus Paige\paigema01,UTA,$125000,,,,,,,$125000
497,Patricio Garino\garinpa01,SAS,$100000,,,,,,,$100000
498,Lamar Patterson\pattela01,SAC,$100000,,,,,,,$100000
499,Isaiah Cousins\cousiis01,SAC,$100000,,,,,,,$100000
500,Chris Wright\wrighch01,OKC,$100000,,,,,,,$100000
501,Chasson Randle\randlch01,NYK,$100000,,,,,,,$100000
502,J.P. Tokoto\tokotjp01,NYK,$100000,,,,,,,$100000
503,Stefan Jankovic\jankost01,MIA,$100000,,,,,,,$100000
504,Okaro White\whiteok01,MIA,$100000,,,,,,,$100000
505,Egidijus Mockevicius\mockeeg01,BRK,$100000,,,,,,,$100000
506,Yogi Ferrell\ferreyo01,BRK,$100000,,,,,,,$100000
507,Henry Sims\simshe01,UTA,$75000,,,,,,,$75000
508,Quincy Ford\fordqu01,UTA,$75000,,,,,,,$75000
509,Ryan Arcidiacono\arcidry01,SAS,$75000,,,,,,,$75000
510,Kaleb Tarczewski\tarczka01,OKC,$75000,,,,,,,$75000
511,Keith Benson\bensoke02,MIA,$75000,,,,,,,$75000
512,Mike Tobey\tobeymi01,CHO,$75000,,,,,,,$75000
513,Kyle Collinsworth\colliky01,DAL,$70000,,,,,,,$70000
514,Thomas Walkup\walkuth01,CHI,$69500,,,,,,,$69500
515,Shawn Long\longsh01,PHI,$65000,,,,,,,$65000
516,James Webb\webbja01,PHI,$65000,,,,,,,$65000
517,Zach Auguste\augusza01,LAL,$60000,,,,,,,$60000
518,Brady Heslip\heslibr01,TOR,$56500,,,,,,,$56500
519,Yanick Moreira\moreiya01,TOR,$50000,,,,,,,$50000
520,E.J. Singler\singlej01,TOR,$50000,,,,,,,$50000
521,Jarrod Uthoff\uthofja01,TOR,$50000,,,,,,,$50000
522,Dionte Christmas\chrisdi01,PHI,$50000,,,,,,,$50000
523,Cat Barber\barbeca01,PHI,$50000,,,,,,,$50000
524,Reggie Williams\willire02,OKC,$50000,,,,,,,$50000
525,Alex Caruso\carusal01,OKC,$50000,,,,,,,$50000
526,Ben Bentil\bentibe01,IND,$50000,,,,,,,$50000
527,Julyan Stone\stoneju01,IND,$50000,,,,,,,$50000
528,Isaiah Taylor\taylois01,HOU,$50000,,,,,,,$50000
529,Scott Wood\woodsc01,GSW,$50000,,,,,,,$50000
530,Cameron Jones\jonesca02,GSW,$50000,,,,,,,$50000
531,Elgin Cook\cookel01,GSW,$50000,,,,,,,$50000
532,Nate Wolters\woltena01,DEN,$50000,,,,,,,$50000
533,D.J. Kennedy\kennedj01,DEN,$50000,,,,,,,$50000
534,Damion Lee\leeda03,BOS,$50000,,,,,,,$50000
535,Matt Costello\costema01,ATL,$50000,,,,,,,$50000
536,Beau Beech\beechbe01,BRK,$45000,,,,,,,$45000
537,Alex Poythress\poythal01,IND,$35381,,,,,,,$35381
538,D.J. Stephens\stephdj01,MEM,$35000,,,,,,,$35000
539,Phil Pressey\pressph01,GSW,$35000,,,,,,,$35000
540,Matt Costello\costema01,MEM,$31500,,,,,,,$31500
541,Nikola Jovanovic\jovanni01,DET,$30000,,,,,,,$30000
542,Tony Wroten\wroteto01,MEM,$25000,,,,,,,$25000
543,Nick Zeisloft\zeislni01,IND,$25000,,,,,,,$25000
544,Jalen Jones\jonesja04,BOS,$25000,,,,,,,$25000
545,Marcus Georges-Hunt\georgma01,BOS,$25000,,,,,,,$25000
546,Jameel Warney\warneja01,DAL,$20000,,,,,,,$20000
547,Dahntay Jones\jonesda02,CLE,$18255,,,,,,,$18255
548,Jordan Farmar\farmajo01,SAC,$16595,,,,,,,$16595
549,Ray McCallum\mccalra01,DET,$11949,,,,,,,$11949
550,P.J. Hairston\hairspj02,HOU,$11534,,,,,,,$11534
