Rk,Player,Tm,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,Signed Using,Guaranteed
147,Rodney Stuckey\stuckro01,IND,$7000000,$7500000,,,,,Cap Space,$7000000
148,Boban Marjanovic\marjabo01,DET,$7000000,$7000000,$7000000,,,,Cap Space,$21000000
149,Ed Davis\davised01,POR,$6666667,$6352531,,,,,Cap Space,$13019198
150,Isaiah Thomas\thomais02,BOS,$6587132,$6261395,,,,,,$12848527
151,Victor Oladipo\oladivi01,OKC,$6552960,$21000000,$21000000,$21000000,$21000000,,1st Round Pick,$90552960
152,Jodie Meeks\meeksjo01,ORL,$6540000,,,,,,Cap Space,$6540000
153,Jeremy Lamb\lambje01,CHO,$6511628,$7000000,$7488372,,,,Rookie scale extension,$21000000
154,Carl Landry\landrca01,PHI,$6500000,,,,,,,$6500000
155,Aron Baynes\baynear01,DET,$6500000,$6500000,,,,,Cap Space,$6500000
156,Spencer Hawes\hawessp01,CHO,$6348759,$6021175,,,,,MLE,$6348759
157,Marco Belinelli\belinma01,CHO,$6333333,$6333333,,,,,Cap Space,$12666666
158,Jae Crowder\crowdja01,BOS,$6286408,$6796117,$7305825,$7815533,,,Bird Rights,$28203883
159,Lance Thomas\thomala01,NYK,$6191000,$6655325,$7119650,$7583975,,,Cap Space,$19965975
160,Tarik Black\blackta01,LAL,$6191000,$6655325,,,,,Cap Space,$6191000
161,Matt Barnes\barnema02,SAC,$6125000,$6400625,,,,,Cap Space,$6125000
162,Andrew Nicholson\nichoan01,WAS,$6088993,$6362998,$6637002,$6911007,,,Cap Space,$19088993
163,Patrick Patterson\pattepa01,TOR,$6050000,,,,,,Bird Rights,$6050000
164,Andrew Wiggins\wiggian01,MIN,$6006600,$7574322,,,,,1st Round Pick,$13580922
165,Wayne Ellington\ellinwa01,MIA,$6000000,$6270000,,,,,Cap Space,$6000000
166,Patrick Beverley\beverpa01,HOU,$6000000,$5500000,$5000000,,,,Bird Rights,$11500000
167,Ish Smith\smithis01,DET,$6000000,$6000000,$6000000,,,,Cap Space,$18000000
168,Ramon Sessions\sessira01,CHO,$6000000,$6270000,,,,,Cap Space,$6000000
169,Alex Abrines\abrinal01,OKC,$5994764,$5725000,$5455236,,,,Cap Space,$17175000
170,Karl-Anthony Towns\townska01,MIN,$5960160,$6216840,$7839435,,,,1st round pick,$12177000
171,Ben Simmons\simmobe01,PHI,$5903160,$6168840,$6434520,$8113930,,,1st Round pick,$12072000
172,Otto Porter\porteot01,WAS,$5893981,,,,,,1st Round Pick,$5893981
173,Josh McRoberts\mcrobjo01,MIA,$5782450,$6021175,,,,,MLE,$5782450
174,Shaun Livingston\livinsh01,GSW,$5782450,,,,,,MLE,$5782450
175,Nikola Mirotic\mirotni01,CHI,$5782450,,,,,,Cap Space,$5782450
176,Brandan Wright\wrighbr03,MEM,$5700000,$6000000,,,,,MLE,$11700000
177,Jared Sullinger\sullija01,TOR,$5628000,,,,,,Cap Space,$5628000
178,Tyler Johnson\johnsty01,MIA,$5628000,$5881260,$19245370,$19245370,,,Cap Space,$30754630
179,Wesley Johnson\johnswe01,LAC,$5628000,$5881260,$6134000,,,,Cap Space,$11509260
180,Tony Allen\allento01,MEM,$5505618,,,,,,Bird Rights,$5505618
181,Deron Williams\willide01,BRK,$5500000,$5500000,$5500000,$5500000,,,,$22000000
182,Nick Young\youngni01,LAL,$5443918,$5668667,,,,,Cap Space,$11112585
183,Josh Smith\smithjo03,DET,$5400000,$5400000,$5400000,$5400000,,,,$27000000
184,Jabari Parker\parkeja01,MIL,$5374320,$6782392,,,,,1st Round Pick,$12156712
185,D'Angelo Russell\russeda01,LAL,$5332800,$5562360,$7019698,,,,1st round pick,$10895160
186,Cody Zeller\zelleco01,CHO,$5318313,$12584270,$13528090,$14471910,$15415730,,1st Round Pick,$61318313
187,P.J. Tucker\tuckepj01,PHO,$5300000,,,,,,Cap Space,$1500000
188,Brandon Ingram\ingrabr01,LAL,$5281680,$5519400,$5757120,$7265485,,,1st Round pick,$10801080
189,Kyle Korver\korveky01,ATL,$5239437,,,,,,Bird Rights,$5239437
190,Darren Collison\collida01,SAC,$5229454,,,,,,MLE,$5229454
191,Langston Galloway\gallola01,NOP,$5200000,$5430000,,,,,Cap Space,$5200000
192,Jason Smith\smithja02,WAS,$5000000,$5225000,$5450000,,,,Cap Space,$10225000
193,C.J. Watson\watsocj01,ORL,$5000000,$5000000,,,,,Cap Space,$6000000
194,Brandon Jennings\jennibr01,NYK,$5000000,,,,,,Cap Space,$5000000
195,Roy Hibbert\hibbero01,CHO,$5000000,,,,,,Cap Space,$5000000
